ciudad,date,value
Oruro,2016-03-01,19750.168522246768
Cochabamba; Sacaba; Quillacollo; Colcapirhua; Tiquipaya; Vinto,2016-03-01,54713.35163406324
Trinidad,2016-03-01,2489.9285973775186
Potosí,2016-03-01,10134.813182708791
Sucre,2016-03-01,6383.4718346929985
Tarija,2016-03-01,6614.5651207227875
Montero,2016-03-01,3265.437735684712
Santa Cruz de la Sierra,2016-03-01,66880.25860963331
Santa Cruz Metrópoli,2016-03-01,115661.26599918552
El Alto; La Paz,2016-04-01,65968.71067789086
Caranavi,2016-04-01,274.7050210781498
Riberalta,2016-04-01,1390.5600493727593
Oruro,2016-04-01,20303.82532594063
Cochabamba; Sacaba; Quillacollo; Colcapirhua; Tiquipaya; Vinto,2016-04-01,57414.42368476263
Trinidad,2016-04-01,2499.0293905778462
Potosí,2016-04-01,10376.339329401273
Sucre,2016-04-01,9414.389263545534
Tarija,2016-04-01,7216.368797959125
Montero,2016-04-01,3468.6968938143223
Santa Cruz de la Sierra,2016-04-01,68260.71154469473
Santa Cruz Metrópoli,2016-04-01,97891.91128953075
El Alto; La Paz,2016-05-01,79779.8950774815
Caranavi,2016-05-01,270.15837657315495
Riberalta,2016-05-01,1311.9226523986667
Oruro,2016-05-01,22653.037030162002
Cochabamba; Sacaba; Quillacollo; Colcapirhua; Tiquipaya; Vinto,2016-05-01,61256.81233426723
Trinidad,2016-05-01,2491.40292544746
Potosí,2016-05-01,11438.183166883213
Sucre,2016-05-01,9914.75123609819
Tarija,2016-05-01,7807.555592643977
Montero,2016-05-01,3114.6976964640853
Santa Cruz de la Sierra,2016-05-01,55341.6467522183
Santa Cruz Metrópoli,2016-05-01,91314.55629361985
El Alto; La Paz,2016-06-01,84558.85648717277
Caranavi,2016-06-01,153.68963658063865
Riberalta,2016-06-01,1282.290566368547
Oruro,2016-06-01,22788.342833172424
Cochabamba; Sacaba; Quillacollo; Colcapirhua; Tiquipaya; Vinto,2016-06-01,65827.79918824656
Trinidad,2016-06-01,2354.6253742282747
Potosí,2016-06-01,11438.266002419894
Sucre,2016-06-01,11059.79105646407
Tarija,2016-06-01,8479.760143173036
Montero,2016-06-01,2626.7155168862596
Santa Cruz de la Sierra,2016-06-01,48252.68349276136
Santa Cruz Metrópoli,2016-06-01,70840.20856956368
El Alto; La Paz,2016-07-01,80067.35897166848
Caranavi,2016-07-01,246.77234323383948
Riberalta,2016-07-01,1404.7194212255865
Oruro,2016-07-01,22487.982735929392
Cochabamba; Sacaba; Quillacollo; Colcapirhua; Tiquipaya; Vinto,2016-07-01,63182.915533522566
Trinidad,2016-07-01,2956.2635723446524
Potosí,2016-07-01,11368.836789536259
Sucre,2016-07-01,10995.091268639902
Tarija,2016-07-01,9482.572875626407
Montero,2016-07-01,4060.131236958765
Santa Cruz de la Sierra,2016-07-01,70452.89824459757
Santa Cruz Metrópoli,2016-07-01,119824.74436525712
El Alto; La Paz,2016-08-01,80617.85885793794
Caranavi,2016-08-01,270.43580160976285
Riberalta,2016-08-01,1265.450069609649
Oruro,2016-08-01,23516.378053561304
Cochabamba; Sacaba; Quillacollo; Colcapirhua; Tiquipaya; Vinto,2016-08-01,64091.12176860012
Trinidad,2016-08-01,3183.3440535501186
Potosí,2016-08-01,11423.039287444306
Sucre,2016-08-01,9774.626303062256
Tarija,2016-08-01,7537.639107025194
Montero,2016-08-01,3388.43377836148
Santa Cruz de la Sierra,2016-08-01,70413.1516030822
Santa Cruz Metrópoli,2016-08-01,100840.04719497595
El Alto; La Paz,2016-09-01,78273.32737198765
Caranavi,2016-09-01,286.7277081932551
Riberalta,2016-09-01,1393.060825767149
Oruro,2016-09-01,22477.802023131793
Cochabamba; Sacaba; Quillacollo; Colcapirhua; Tiquipaya; Vinto,2016-09-01,60774.56815604358
Trinidad,2016-09-01,2759.219582853453
Potosí,2016-09-01,11207.772313206868
Sucre,2016-09-01,10170.73937660146
Tarija,2016-09-01,7312.084963515343
Montero,2016-09-01,3641.637303565647
Santa Cruz de la Sierra,2016-09-01,69277.39202570276
Santa Cruz Metrópoli,2016-09-01,131126.26491834602
El Alto; La Paz,2016-10-01,79134.83046356725
Caranavi,2016-10-01,317.0040991340655
Riberalta,2016-10-01,1323.6121381453997
Oruro,2016-10-01,21518.001194682143
Cochabamba; Sacaba; Quillacollo; Colcapirhua; Tiquipaya; Vinto,2016-10-01,62426.64115749967
Trinidad,2016-10-01,2803.519046890994
Potosí,2016-10-01,10546.539844179155
